mean_response_time,time
5.1894903,5189.49
4.103818,9293.191
3.726518,13019.583
3.788119,16807.645
3.25682,20064.926
3.3723204,23437.695
3.1105185,26548.691
2.9488208,29498.004
3.179817,32678.293
2.87182,35550.613
2.740918,38292.047
2.8564181,41148.97
2.7717183,43921.2
2.9642215,46885.91
2.7024164,49588.848
2.5484169,52137.8
2.5792167,54717.55
2.6408186,57358.895
2.2866168,59646.074
2.456017,62102.637
2.5484192,64651.59
2.4560182,67106.36
2.3867192,69490.78
2.4714212,71959.94
2.3790174,74336.66
2.4329166,76767.3
2.394416,79159.42
2.3713171,81528.44
2.3020158,83828.125
2.3097167,86135.516
2.1249175,88258.03
2.4021182,90657.86
2.2404175,92895.92
2.3482146,95241.83
2.0633144,97302.72
2.1403177,99440.64
2.240417,101678.7
2.071015,103747.3
2.4637191,106208.75
2.1942167,108400.59
2.140317,110538.516
2.0710187,112607.11
2.1018167,114706.516
2.0787177,116782.81
2.0633159,118843.7
1.9401166,120781.34
2.0479147,122826.83
1.9247127,124749.06
1.9863163,126732.92
1.9632163,128693.67
2.101815,130793.08
1.9786137,132769.23
2.0710168,134837.83
2.1249182,136960.34
1.7630105,138720.81
1.9016137,140619.94
1.8169113,142434.33
1.7399126,144171.69
1.8169136,145986.08
1.8323123,147815.88
1.9786147,149792.03
2.0787191,151868.33
1.9555148,153821.38
1.9555137,155774.42
1.7784135,157550.3
1.8015133,159349.28
1.7245109,161071.23
1.8323157,162901.03
1.9170146,164815.56
1.8169136,166629.95
1.8785142,168505.97
1.7938135,170297.25
1.8246112,172119.34
1.6937102,173810.48
1.7553093,175563.25
1.7784139,177339.12
1.8400111,179176.62
1.7476122,180921.69
1.8323138,182751.48
1.678311,184427.22
1.5705113,185995.11
1.6090115,187601.52
1.6937095,189292.66
1.8092133,191099.34
1.670613,192767.38
1.5551074,194319.86
1.7014141,196018.7
1.5705075,197586.6
1.6783121,199262.33
1.6321117,200891.84
1.832315,202721.64
1.6860137,204405.08
1.6090128,206011.48
1.5628084,207571.67
1.5782084,209147.27
1.8400131,210984.77
1.7014077,212683.61
1.6013103,214282.31
1.6629096,215942.64
1.7322112,217672.3
1.6706103,219340.33
1.63981,220977.55
1.6167086,222591.66
1.6398098,224228.88
1.7245113,225950.83
1.7553134,227703.6
1.4396076,229140.53
1.5628061,230700.72
1.5628088,232260.9
1.6090095,233867.31
1.5628064,235427.5
1.4011074,236825.92
1.6167102,238440.03
1.6013079,240038.73
1.5936098,241629.73
1.58591,243213.03
1.6244122,244834.84
1.5474102,246379.62
1.6244124,248001.44
1.4704068,249469.19
1.59361,251060.19
