mean_response_time,time
6.6139827,6613.983
5.7900877,12404.027
5.220293,17624.344
5.012397,22637.047
5.043194,27680.547
4.7352004,32416.078
4.5966043,37013.023
4.4118104,41425.188
4.080718,45506.285
4.150015,49656.676
4.1885176,53845.562
4.0884185,57934.36
3.9883184,61923.066
4.073018,65996.16
3.8189192,69813.36
3.7573168,73568.94
3.4493194,77016.39
3.5571198,80571.69
3.7419183,84311.86
3.557119,87867.16
3.3646183,91229.875
3.487819,94715.84
3.541719,98255.734
3.4262183,101680.08
3.2414188,104919.55
3.0489197,107966.44
3.156717,111121.17
3.3107202,114429.97
3.1413186,117569.3
3.1721182,120739.44
3.0951202,123832.55
3.2491183,127079.72
3.195219,130272.97
3.0797176,133350.67
2.9257185,136274.31
3.002718,139274.98
3.064318,142337.28
2.9334197,145268.62
3.0566182,148323.22
2.9257185,151246.86
2.9488199,154193.61
2.7948196,156986.3
2.871818,159856.02
2.8718188,162725.73
2.7486193,165472.2
3.172119,168642.34
2.8949168,171535.17
2.8179207,174350.97
2.733217,177082.03
2.6408205,179720.66
2.64852,182366.98
2.825621,185190.48
2.8333197,188021.69
2.6023214,190621.8
2.5792158,193198.8
2.7178175,195914.45
2.7717185,198684.03
2.925719,201607.67
2.6023173,204207.78
2.8102183,207015.88
2.7332187,209746.94
2.6100206,212354.75
2.4868197,214839.31
2.6562188,217493.34
2.4098172,219900.88
2.6023178,222500.98
2.5099201,225008.66
2.633119,227639.58
2.4714186,230108.73
2.3790157,232485.45
2.3867195,234869.88
2.432918,237300.52
2.4868166,239785.08
2.4868193,242269.64
2.371315,244638.66
2.5022166,247138.62
2.5330207,249669.4
2.3328178,251999.9
2.4175184,254415.14
2.278917,256691.72
2.5407188,259230.2
2.2866163,261514.48
2.3636184,263884.56
2.4021184,266295.75
2.2096171,268514.75
2.3559182,270879.8
2.4098182,273298.7
2.45602,275763.7
2.2635167,278036.5
2.2558155,280301.62
2.355915,282666.7
2.2635155,284939.5
2.1788154,287127.75
2.2635188,289400.56
2.3636205,291773.3
2.3713188,294153.75
2.1249168,296288.2
2.1326172,298430.3
2.3097186,300749.25
2.2173157,302975.94
2.3713183,305356.38
2.2635152,307629.2
2.1403155,309779
2.2481153,312036.44
2.148017,314193.94
2.1480129,316351.44
2.0171175,318378.25
2.1865156,320574.2
2.2943182,322877.75
2.186516,325073.7
2.240417,327323.44
2.0248163,329357.94
2.148017,331515.44
2.2096167,333734.44
2.1172192,335861.2
2.1326137,338003.3
2.0633173,340076.25
2.0556164,342141.5
2.1018162,344252.88
2.1403177,346402.7
2.0479143,348460.25
2.340517,350809.94
2.0325143,352852.12
2.0633152,354925.06
1.9170148,356851.94
2.0710158,358932.56
2.024815,360967.06
1.9324143,362909.3
2.1634164,365082.2
2.2096152,367301.2
2.1711152,369481.75
2.240417,371731.5
2.1865158,373927.44
2.3251162,376261.75
2.37132,378642.2
2.124917,380776.62
2.0325131,382818.8
2.1865146,385014.75
2.2250178,387249.12
2.1480167,389406.62
2.402117,391817.8
2.1865165,394013.75
2.1711197,396194.3
2.1480181,398351.8
2.1095166,400470.88
2.140318,402620.7
2.4098177,405039.56
2.1634147,407212.44
2.1095164,409331.5
2.3020175,411642.75
2.3174152,413969.38
2.3174174,416296
2.101816,418407.38
2.2096164,420626.38
2.186517,422822.3
2.302016,425133.56
2.2789173,427421.75
2.1942172,429625.38
2.3251188,431959.7
2.040215,434009.56
1.9863144,436005.62
2.3482187,438363
2.286615,440658.88
2.2943177,442962.44
2.0941143,445066.12
2.109516,447185.2
2.0787141,449273.5
2.0633135,451346.44
2.1480145,453503.94
2.1711178,455684.5
2.0171158,457711.3
2.1480138,459868.8
2.0633154,461941.75
2.040214,463991.62
2.0864155,466087.62
2.0556164,468152.88
2.1403184,470302.7
2.2558177,472567.8
2.171115,474748.38
2.1942172,476952
2.0941186,479055.7
2.071014,481136.3
1.9863172,483132.38
2.3636177,485505.12
2.047916,487562.7
2.047917,489620.25
1.878513,491508.7
1.9863108,493504.75
2.1557178,495669.94
2.1557188,497835.12
2.2404182,500084.88
2.0017145,502096.3
1.7938126,503900.2
2.1557162,506065.38
2.2712204,508345.88
2.0402167,510395.75
2.0787148,512484.06
2.071015,514564.7
2.086418,516660.7
2.109516,518779.75
1.8400153,520629.75
1.9940132,522633.5
2.009412,524652.6
2.0941207,526756.3
1.9940127,528760.06
2.0864143,530856.06
2.040217,532905.94
1.8939126,534809.75
1.9863137,536805.8
1.9478154,538763.44
1.9478145,540721.06
1.9093143,542640.25
2.0171158,544667.06
1.8246149,546501.7
2.1480143,548659.2
1.9632165,550632.2
2.024814,552666.7
2.0710163,554747.3
1.9555142,556712.6
1.9863135,558708.7
2.0556169,560773.94
1.9940155,562777.7
2.1788151,564965.94
2.1788142,567154.2
2.0633154,569227.1
1.9709133,571207.8
2.055618,573273.06
2.432915,575715
2.1557155,577880.2
2.001715,579891.6
2.1249158,582026.06
2.3097146,584345
2.1865156,586540.94
2.1865168,588736.9
2.3097181,591055.8
2.1557155,593221
2.0017188,595232.44
2.6947134,597935.75
3.1644208,601108
2.9642193,604080.4
2.6716194,606760.6
2.7563183,609525.44
2.6562192,612190.3
2.756319,614955.1
2.77942,617743
2.6177201,620369.44
2.394418,622772.94
2.5330179,625314.8
2.3251178,627649.1
2.3251193,629983.44
2.2558172,632248.56
2.4714167,634728.94
2.3251183,637063.25
2.3482168,639420.6
2.4098153,641839.5
2.5176206,644366
2.6408186,647015.5
2.456017,649480.5
2.4406166,651930.1
2.3790178,654318.25
2.5484192,656875.5
2.5099175,659394.3
2.194218,661597.94
2.1942167,663801.56
2.3790185,666189.7
2.3482156,668547.06
2.3559153,670912.1
2.2327173,673154.2
2.1172175,675280.94
2.4560194,677745.94
2.1634185,679918.8
2.1326168,682060.94
2.1326153,684203.06
2.0479128,686260.6
2.0402157,688310.5
2.2866197,690606.4
2.1403167,692756.2
2.001717,694767.6
2.2019174,696978.94
2.1942158,699182.56
1.9786162,701170.94
2.1865158,703366.9
2.217319,705593.56
2.1480155,707751.06
2.278917,710039.25
2.1403172,712189.06
2.1634152,714361.94
2.2327192,716604
2.1249182,718738.44
2.1788163,720926.7
2.171119,723107.25
2.1326156,725249.4
2.2635179,727522.2
2.086416,729618.2
2.0710177,731698.8
2.201918,733910.1
2.1095164,736029.2
2.0248156,738063.7
2.1788154,740251.94
1.9632168,742224.94
2.4252183,744659.2
2.1018162,746770.56
1.9940141,748774.3
2.2250197,751008.7
2.132615,753150.8
2.078715,755239.1
2.1557193,757404.3
1.9632161,759377.3
2.140315,761527.1
2.0171154,763553.94
2.1172178,765680.7
2.178819,767868.94
1.970913,769849.6
2.0479174,771907.2
1.9786125,773895.56
2.078719,775983.9
2.101817,778095.25
2.2327156,780337.3
2.1634157,782510.2
2.1865158,784706.1
2.2250192,786940.5
2.194216,789144.1
2.1942163,791347.75
2.078714,793436.06
2.1249132,795570.5
2.0787165,797658.8
1.9401141,799608.75
2.1095164,801727.8
1.9093149,803647
2.0402174,805696.9
1.9940114,807700.6
